,comments_id,line,message,range.start_line,range.end_line,filepath_before,filepath_after,is_gerrit,repository_name,methods_before_count,methods_after_count
0,140fa212_552b55e6,2168.0,"We could also review this closing tab check. That way, the incognito tab is not closed when clicking back button, to be consistent with normal tab logic. WDYT?",,,140fa212_552b55e6_before.java,140fa212_552b55e6_after.java,True,chromium,117,117
1,140fa212_552b55e6,2168.0,"We could also review this closing tab check. That way, the incognito tab is not closed when clicking back button, to be consistent with normal tab logic. WDYT?",,,140fa212_552b55e6_before.java,140fa212_552b55e6_after.java,True,chromium,117,117
2,140fa212_552b55e6,2168.0,"We could also review this closing tab check. That way, the incognito tab is not closed when clicking back button, to be consistent with normal tab logic. WDYT?",,,140fa212_552b55e6_before.java,140fa212_552b55e6_after.java,True,chromium,117,117
3,140fa212_552b55e6,2168.0,"We could also review this closing tab check. That way, the incognito tab is not closed when clicking back button, to be consistent with normal tab logic. WDYT?",,,140fa212_552b55e6_before.java,140fa212_552b55e6_after.java,True,chromium,117,117
4,7fa9753f_9d8ef123,2168.0,I think it is fine to close the Tab.,,,7fa9753f_9d8ef123_before.java,7fa9753f_9d8ef123_after.java,True,chromium,117,117
5,7fa9753f_9d8ef123,2168.0,I think it is fine to close the Tab.,,,7fa9753f_9d8ef123_before.java,7fa9753f_9d8ef123_after.java,True,chromium,117,117
6,7fa9753f_9d8ef123,2168.0,I think it is fine to close the Tab.,,,7fa9753f_9d8ef123_before.java,7fa9753f_9d8ef123_after.java,True,chromium,117,117
7,7fa9753f_9d8ef123,2168.0,I think it is fine to close the Tab.,,,7fa9753f_9d8ef123_before.java,7fa9753f_9d8ef123_after.java,True,chromium,117,117
8,b5ea4309_819de63f,2168.0,Ack,,,b5ea4309_819de63f_before.java,b5ea4309_819de63f_after.java,True,chromium,117,117
9,b5ea4309_819de63f,2168.0,Ack,,,b5ea4309_819de63f_before.java,b5ea4309_819de63f_after.java,True,chromium,117,117
10,b5ea4309_819de63f,2168.0,Ack,,,b5ea4309_819de63f_before.java,b5ea4309_819de63f_after.java,True,chromium,117,117
11,b5ea4309_819de63f,2168.0,Ack,,,b5ea4309_819de63f_before.java,b5ea4309_819de63f_after.java,True,chromium,117,117
12,d593f285_456a0ae4,390.0,"Can we have null check and this check within a single if expression? Otherwise, it's a bit hard to decipher this code.",390.0,390.0,d593f285_456a0ae4_before.java,d593f285_456a0ae4_after.java,True,chromium,35,35
13,d593f285_456a0ae4,390.0,"Can we have null check and this check within a single if expression? Otherwise, it's a bit hard to decipher this code.",390.0,390.0,d593f285_456a0ae4_before.java,d593f285_456a0ae4_after.java,True,chromium,35,35
